fates_name,pft,organ,lower,upper,default_api43,default_api31,description
fates_cnp_eca_decompmicc,10,,140,600,280,280,Microbial biomass C concentration PFT#10
fates_cnp_eca_km_nh4,10,,0.07,0.21,0.14,0.14,Michaelis-Menten constant for NH4 uptake PFT#10
fates_cnp_eca_km_no3,10,,0.135,0.405,0.27,0.27,Michaelis-Menten constant for NO3 uptake PFT#10
fates_cnp_eca_km_p,10,,0.05,0.15,0.1,0.1,Michaelis-Menten constant for P uptake PFT#10
fates_cnp_eca_km_ptase,10,,0.5,1.5,1,1,Michaelis-Menten constant for phosphatase PFT#10
fates_cnp_vmax_nh4,10,,2.5E-10,0.00025,2.5e-09,2.5e-09,Maximum NH4 uptake rate PFT#10
fates_cnp_vmax_no3,10,,2.5E-10,0.00025,2.5e-09,2.5e-09,Maximum NO3 uptake rate PFT#10
fates_cnp_vmax_p,10,,5E-11,0.00005,5e-10,5e-10,Maximum P uptake rate PFT#10
fates_cnp_eca_vmax_ptase,10,,5E-10,0.0005,5e-09,5e-09,Maximum phosphatase production rate PFT#10
fates_cnp_pid_kp,10,,0.000005,0.005,0.0005,0.0005,PID proportional gain for allocation PFT#10
fates_allom_l2fr,10,,0.01,2.956620991,1,1,Initial leaf to fine root ratio PFT#10
fates_cnp_turnover_nitr_retrans,10,1|2,0.4,0.7,0.25,0.25,Nitrogen retranslocation fraction PFT#10
fates_cnp_turnover_phos_retrans,10,1|2,0.6,0.9,0.25,0.25,Phosphorus retranslocation fraction PFT#10
fates_stoich_nitr,10,1,0.018676344,0.038729283,0.033,0.033,Leaf nitrogen stoichiometry PFT#10
fates_stoich_phos,10,1,0.001034373,0.002847928,0.0033,0.0033,Leaf phosphorus stoichiometry PFT#10
fates_stoich_nitr,10,2,0.014525165,0.020000432,0.024,0.024,Fine root nitrogen stoichiometry PFT#10
fates_stoich_phos,10,2,0.000804464,0.001470716,0.0024,0.0024,Fine root phosphorus stoichiometry PFT#10
fates_cnp_eca_decompmicc,11,,140,600,280,280,Microbial biomass C concentration PFT#11
fates_cnp_eca_km_nh4,11,,0.07,0.21,0.14,0.14,Michaelis-Menten constant for NH4 uptake PFT#11
fates_cnp_eca_km_no3,11,,0.135,0.405,0.27,0.27,Michaelis-Menten constant for NO3 uptake PFT#11
fates_cnp_eca_km_p,11,,0.05,0.15,0.1,0.1,Michaelis-Menten constant for P uptake PFT#11
fates_cnp_eca_km_ptase,11,,0.5,1.5,1,1,Michaelis-Menten constant for phosphatase PFT#11
fates_cnp_vmax_nh4,11,,2.5E-10,0.00025,2.5e-09,2.5e-09,Maximum NH4 uptake rate PFT#11
fates_cnp_vmax_no3,11,,2.5E-10,0.00025,2.5e-09,2.5e-09,Maximum NO3 uptake rate PFT#11
fates_cnp_vmax_p,11,,5E-11,0.00005,5e-10,5e-10,Maximum P uptake rate PFT#11
fates_cnp_eca_vmax_ptase,11,,5E-10,0.0005,5e-09,5e-09,Maximum phosphatase production rate PFT#11
fates_cnp_pid_kp,11,,0.000005,0.005,0.0005,0.0005,PID proportional gain for allocation PFT#11
fates_allom_l2fr,11,,0.01,18.31149756,1,1,Initial leaf to fine root ratio PFT#11
fates_cnp_nfix1,11,,0,1,0,0,Nitrogen fixation parameter PFT#11
fates_cnp_turnover_nitr_retrans,11,1|2,0.4,0.7,0.25,0.25,Nitrogen retranslocation fraction PFT#11
fates_cnp_turnover_phos_retrans,11,1|2,0.6,0.8,0.25,0.25,Phosphorus retranslocation fraction PFT#11
fates_stoich_nitr,11,1,0.03783522,0.058189077,0.04,0.04,Leaf nitrogen stoichiometry PFT#11
fates_stoich_phos,11,1,0.002095471,0.004278889,0.004,0.004,Leaf phosphorus stoichiometry PFT#11
fates_stoich_nitr,11,2,0.012530528,0.028131898,0.024,0.024,Fine root nitrogen stoichiometry PFT#11
fates_stoich_phos,11,2,0.000693992,0.002068657,0.0024,0.0024,Fine root phosphorus stoichiometry PFT#11
