year,sminp_gPm2,labilep_gPm2,secondp_gPm2,occlp_gPm2,primp_gPm2,litr1p_gPm2,litr2p_gPm2,litr3p_gPm2,vegp_gPm2,storep_gPm2,totsomp_gPm2,p_uptake_gPm2yr,p_efflux_gPm2yr,sminp_leached_gPm2yr,total_inorganic_gPm2,total_ecosystem_gPm2
1901,125.51102,0.20294358,125.13357,0.59951961,0.031485662,204.90898,443.36349,218.38536,1.0985743,0.84751284,125.98616,0.57178116,0.42281541,1.3855753e-09,251.47853,1246.0686
1901.0833,125.4857,0.20342205,125.10737,0.59964269,0.0314859,204.8528,443.2338,218.32227,1.1101172,0.86003274,125.97948,0.60088766,0.4696497,1.5188601e-09,251.42761,1245.7861
1901.1667,125.46014,0.2037552,125.08118,0.59976566,0.031486139,204.79504,443.10242,218.25838,1.1175165,0.86907405,125.97281,0.59977341,0.46650201,1.5571793e-09,251.37633,1245.4915
1901.25,125.43367,0.20407748,125.05412,0.59989285,0.031486385,204.72708,442.95135,218.18478,1.1072696,0.82516539,125.96595,0.59913701,0.36069897,1.5925352e-09,251.32324,1245.0849
1901.3333,125.40721,0.20440364,125.02706,0.60001999,0.031486634,204.65979,442.80316,218.11258,1.1105303,0.78823119,125.9591,0.60307759,0.24931568,1.6051334e-09,251.27019,1244.7036
1901.4167,125.38111,0.20491885,125.00002,0.60014707,0.03148688,204.61334,442.69986,218.06258,1.1223859,0.79850477,125.95226,0.61573243,0.25843462,1.5158502e-09,251.21768,1244.4667
1901.5,125.35519,0.20552599,124.97298,0.60027415,0.031487126,204.76097,443.00058,218.21214,1.1326795,0.74205935,125.94562,0.91066897,0.45695823,9.3148433e-10,251.16547,1244.9595
1901.5833,125.32576,0.20446247,124.9455,0.60040325,0.031487375,204.92409,443.323,218.37294,1.1663184,0.78454453,125.93871,1.070281,0.55925751,7.5421097e-10,251.1076,1245.6171
1901.6667,125.29674,0.20338421,124.91846,0.60053027,0.031487621,205.08057,443.62167,218.52208,1.1613345,0.9104535,125.93169,0.99831885,0.52975404,6.4985556e-10,251.0506,1246.2784
1901.75,125.26864,0.20280606,124.89143,0.60065728,0.031487867,205.15233,443.74268,218.58327,1.1938976,0.9257955,125.92454,0.81805074,0.4191792,7.9617823e-10,250.99504,1246.5175
1901.8333,125.24236,0.20320947,124.8644,0.60078424,0.031488113,205.07793,443.57224,218.50006,1.2127463,0.93732476,125.91732,0.52681714,0.20607436,1.2790532e-09,250.94225,1246.1598
