year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,10.015452,64.287409,2.1625025e-05,0.001224415,0,0,0.78850144,0.6770696,0.47242165,37.847576,9.4864077
1901.0833,10.040908,64.138949,2.2691291e-05,0.00074881623,0,0,0.78002554,0.63500237,0.45583075,42.76152,12.046663
1901.1667,10.059206,63.750997,2.2429005e-05,1.452109e-06,0,0,0.7746073,0.59709001,0.43973064,40.6309,13.772355
1901.25,9.934403,61.744485,2.2497221e-05,-5.0483845e-05,-1.4938724e-05,0,0.77400166,0.56190449,0.42212951,39.883758,14.539483
1901.3333,10.076346,59.779707,2.3229602e-05,0.012590051,0.076669704,0,0.67883587,0.53075624,0.40496218,38.176808,15.309698
1901.4167,10.306823,61.35302,2.6849366e-05,1.6576879,1.5173817,0.059548451,0.54505551,0.50293374,0.3897076,128.18157,24.230629
1901.5,12.591416,69.380715,4.0328567e-05,5.1593428,4.4313088,0.30707891,0.52120346,0.478246,0.37543246,100.34579,46.713495
1901.5833,16.644644,73.187478,3.6251527e-05,4.5201525,3.434876,0.27517034,0.78338188,0.45820537,0.36188418,97.21706,62.977116
1901.6667,21.005552,78.133427,2.696045e-05,3.1941687,0,0,0.9208349,0.44565135,0.34714144,119.74436,76.695816
1901.75,25.891239,83.279058,1.7908811e-05,0.61107573,0,0,0.86338586,0.44069195,0.33481419,107.6116,79.341049
1901.8333,29.088261,85.124023,9.7278253e-06,1.7579776e-05,0,0,0.84526396,0.442296,0.32559368,78.209672,49.325523
1901.9167,29.195325,83.569154,9.3869194e-06,-4.9793578e-10,0,0,0.87339169,0.44827524,0.31788635,89.124226,38.680291
1902,29.420551,82.633406,9.2454375e-06,0,0,0,0.88459742,0.45703939,0.30880582,56.537668,19.527206
1902.0833,28.807413,79.881065,9.4936922e-06,-1.046388e-07,0,0,0.86407274,0.46579418,0.29803926,55.808295,26.441175
1902.1667,27.973123,77.279367,9.7837292e-06,-4.6036078e-05,0,0,0.80587661,0.47329855,0.28833875,53.297945,28.973611
1902.25,25.594937,74.601002,1.0606599e-05,-2.3143861e-05,-0.00018584105,0,0.76891965,0.47237131,0.28104293,51.506865,36.09254
1902.3333,22.629809,72.128154,1.2509832e-05,0.30730239,0.32492381,0.0080199581,0.67830265,0.46106148,0.27151716,73.835924,41.332278
1902.4167,24.292031,77.458605,1.4450773e-05,5.7616992,5.0302239,0.24690937,0.55036163,0.44461018,0.26420289,126.93742,64.029723
1902.5,24.573639,81.41312,2.3093737e-05,5.3531575,4.2495,0.32624087,0.62940127,0.42979404,0.26510981,99.843169,65.366635
1902.5833,27.114609,85.687138,2.097369e-05,4.5765793,2.2635861,0.19218699,0.99476635,0.41441059,0.26144671,111.82351,84.054182
1902.6667,33.343244,90.186164,1.5635718e-05,3.4160686,0,0,1.0961845,0.40418351,0.25633007,116.03176,97.031881
1902.75,40.214818,94.350167,1.1368974e-05,0.78076461,0,0,1.110433,0.40055388,0.251771,110.84797,99.494828
1902.8333,46.290245,97.692415,9.1605325e-06,7.0363484e-05,0,0,1.1263669,0.40245971,0.24840152,103.04848,93.48887
1902.9167,49.987193,100.04127,6.4600335e-06,0.00025058045,0,0,1.140885,0.40798983,0.24289194,111.07488,67.205108
1903,49.748261,102.43253,5.9496056e-06,0.006903952,0,0,1.141943,0.40917295,0.23415382,70.099851,25.259436
1903.0833,47.965847,102.25535,6.1463302e-06,0.029253648,0,0,1.1141365,0.40446442,0.22442578,72.950016,25.999586
1903.1667,44.281948,102.07262,6.6761386e-06,0.033038132,0,0,1.0673276,0.39907673,0.21734311,67.057238,34.161832
1903.25,38.159169,101.71515,7.4407271e-06,0.057908743,0.086179662,0,1.037825,0.39608839,0.21407868,68.134004,56.275477
