year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1901,3.2161608,6.8743524,0,13.743856,0.00028353322,0,4.4483477,0,0
1901.0833,9.2964694,7.4289471,0,40.844183,0.00027196766,0,13.369584,0,0
1901.1667,8.3307301,7.6613051,0,38.160993,0.00025917399,0,12.727766,0,0
1901.25,7.4399829,7.6876044,0,35.609851,0.081706928,0,12.138973,0,0
1901.3333,5.4241197,7.5667097,0,27.256373,0.32728257,0,10.077322,0,0
1901.4167,0,7.5106932,0,0,0.36350324,0,0,0,0
1901.5,0,3.7813727,0,0,0.084930637,0,0,0,0
1901.5833,0,0.033163247,0,0,5.3201342e-06,0,0,0,0
1901.6667,0,0.031781108,0,0,2.3745376e-07,0,0,0,0
1901.75,0,0.12479795,0,0,0,0,0,0,0
1901.8333,10.660606,2.5565335,0,45.091102,0,0,26.001869,0,0
1901.9167,11.007476,6.4413096,0,50.122144,0,0,28.338186,0,0
1902,9.7197162,7.498165,0,48.129254,0,0,26.616928,0,0
1902.0833,8.6903925,7.7254138,0,46.196792,0,0,25.082417,0,0
1902.1667,7.7953783,7.7390431,0,44.234093,0,0,23.645997,0,0
1902.25,6.9815473,7.6218335,0,42.556651,0.068920124,0,22.3023,0,0
1902.3333,4.9099703,7.4188558,0,32.538144,0.27396453,0,17.140661,0,0
1902.4167,0,4.6080554,0,0,0.17892096,0,0,0,0
1902.5,0,0.0097426462,0,0,7.1651691e-05,0,0,0,0
1902.5833,0,0.0095275447,0,0,1.2523313e-06,0,0,0,0
1902.6667,0,0.009813354,0,0,2.4100789e-07,0,0,0,0
1902.75,0,0.087239897,0,0,0,0,0,0,0
1902.8333,0,2.1998254,0,0,1.3327966e-09,0,0,0,0
1902.9167,0,7.1674439,0,0,4.8841748e-09,0,0,0,0
1903,0,8.7803506,0,0,8.4854988e-09,0,0,0,0
1903.0833,0,9.2983434,0,0,1.3616397e-08,0,0,0,0
1903.1667,0,9.5007468,0,0,9.263613e-06,0,0,0,0
1903.25,0,9.4716212,0,0,0.042436563,0,0,11.607915,0
1903.3333,0,9.3027601,0,0,0.16717357,0,0,47.013786,0
1903.4167,0,8.8290689,0,0,0.076555549,0,0,44.819224,0
1903.5,0,1.0732487,0,0,0.0014715713,0,0,20.949736,0
1903.5833,0,0.019842798,0,0,1.6463251e-05,0,0,0.089067256,0
1903.6667,0,0.0088900221,0,0,2.0543896e-10,0,0,0,0
1903.75,0,0.0093632806,0,0,0,0,0,0,0
1903.8333,0,3.3378198,0,0,0,0,0,0,0
1903.9167,1.8216148,8.6443596,0,13.28298,0,0,3.9121649,0,0
1904,13.104965,9.9855001,0,98.341911,0,0,29.324407,0,0
1904.0833,11.562613,10.197198,0,86.980218,5.6753618,0,27.715599,0,0
1904.1667,10.241962,10.115592,0,74.021866,20.204567,0,26.18269,0,0
1904.25,9.0589856,9.8515416,0,68.096135,28.139155,0,24.69773,0,0
1904.3333,8.0337347,9.4703486,0,64.787005,28.387777,0,24.444479,0,0
1904.4167,0,7.2900152,0,0,24.729151,0,0,0,0
1904.5,0,0.031197033,0,0,9.4902424,0,0,0,0
1904.5833,0,0.0092749583,0,0,6.2422565e-06,0,0,0,0
1904.6667,0,0.0092868688,0,0,5.1321652e-11,0,0,0,0
1904.75,0,0.20001965,0,0,0,0,0,0,0
1904.8333,0,6.2759536,0,0,0,0,0,0,0
1904.9167,8.2410407,10.034191,0,48.30034,0,0,24.781,0,0
1905,13.47676,11.006071,0,81.97643,6.2993885,0,42.970839,0,0
1905.0833,11.798292,11.09259,0,75.077562,17.965079,0,40.391779,0,0
1905.1667,10.369954,10.863881,0,69.271859,22.32996,0,37.991833,0,0
1905.25,9.1045826,10.448631,0,64.396873,21.902148,0,35.720979,0,0
1905.3333,6.5453206,9.9344378,0,49.577448,20.599413,0,28.018444,0,0
1905.4167,0,8.2722837,0,0,17.976554,0,0,0,0
1905.5,0,0.014020484,0,0,4.2277188,0,0,0,0
1905.5833,0,0.0091878514,0,0,0.00065633779,0,0,0,0
1905.6667,0,0.0092079534,0,0,0,0,0,0,0
1905.75,0,0.19360307,0,0,0,0,0,0,0
1905.8333,0,7.0431482,0,0,0,0,0,0,0
1905.9167,0,11.042086,0,0,0.062794571,0,0,0,0
1906,0,12.492077,0,0,12.943937,0,0,0,0
1906.0833,0,12.867325,0,0,32.176039,0,0,0,0
1906.1667,0,12.800044,0,0,36.421317,0,0,0,0
1906.25,0,12.462699,0,0,36.655197,0,0,10.570591,0
1906.3333,0,12.04333,0,0,12.353637,0,0,5.504625,0
1906.4167,0,11.538454,0,0,16.121258,0,0,15.003492,0
1906.5,0,5.0288571,0,0,6.0033166,0,0,11.074448,0
1906.5833,0,0.035137407,0,0,8.7681834e-05,0,0,0,0
1906.6667,0,0.010561691,0,0,3.1776181e-05,0,0,0,0
1906.75,0,0.0093086334,0,0,1.2121654e-05,0,0,0,0
1906.8333,0,2.9896159,0,0,7.9201013e-06,0,0,0,0
1906.9167,0,11.324284,0,0,7.905464e-06,0,0,0,0
1907,0,13.436548,0,0,7.8952216e-06,0,0,0,0
1907.0833,0,14.066253,0,0,1.4713343,0,0,0,0
1907.1667,0,14.141159,0,0,13.141673,0,0,0,0
1907.25,2.6357987,13.851817,0,11.198318,22.314931,0,8.719196,14.73423,0
1907.3333,7.8064272,13.092792,0,34.548484,20.839373,0,26.356369,47.576068,0
1907.4167,0,12.429009,0,0,22.819068,0,0,39.284447,0
1907.5,0,10.818718,0,0,19.627515,0,0,33.024236,0
1907.5833,0,0.43422312,0,0,1.2910654,0,0,15.393411,0
1907.6667,0,0.046200168,0,0,0.018311178,0,0,1.8589541,0
1907.75,0,1.3298956,0,0,0.013750529,0,0,0,0
1907.8333,7.8771015,11.097253,0,24.828641,0.016480747,0,7.3737271,0,0
1907.9167,17.729581,13.255668,0,59.065436,0.017524342,0,17.816178,0,0
1908,15.251443,13.160536,0,54.989262,0.016988609,0,16.823124,0,0
1908.0833,13.201562,13.113276,0,51.078654,0.017247946,0,15.944703,0,0
1908.1667,11.476935,12.672396,0,47.352933,0.017575815,0,15.05438,0,0
1908.25,10.026595,12.106867,0,43.740564,5.2690498,0,13.74669,1.1690789e-06,0
1908.3333,8.7369742,11.425959,0,41.57302,21.107715,0,11.444076,4.4676131e-06,0
1908.4167,0,10.091079,0,0,16.939662,0,0,4.3716693e-06,0
1908.5,0,0.59462963,0,0,0.52352082,0,0,1.9003976e-06,0
1908.5833,0,0.026572132,0,0,0.010513993,0,0,0,0
1908.6667,0,0.02473616,0,0,0.0054639421,0,0,0,0
1908.75,0,0.58884937,0,0,0.0031758532,0,0,0,0
1908.8333,7.595697,10.197324,0,23.90076,0.0025374632,0,14.050118,0,0
1908.9167,16.898903,12.929617,0,56.941125,0.0023978869,0,33.50138,0,0
1909,14.318329,13.602206,0,52.427032,0.0024185304,0,31.259814,0,0
1909.0833,12.270827,13.250649,0,49.032455,0.0022395974,0,29.28325,0,0
1909.1667,10.557041,12.58189,0,45.960685,0.0026713867,0,27.450516,0,0
1909.25,9.0632895,11.740192,0,43.164564,0.02804182,0,25.737992,4.4539218e-07,0
1909.3333,6.1407448,10.858941,0,32.351169,0.09263746,0,19.62115,1.6523093e-06,0
1909.4167,0,8.5716756,0,0,0.050910403,0,0,1.1513157e-06,0
1909.5,0,0.058390089,0,0,0.0049506382,0,0,1.1934165e-07,0
1909.5833,0,0.0094483899,0,0,0.00034915058,0,0,0,0
1909.6667,0,0.0096972776,0,0,0.00013729255,0,0,0,0
1909.75,0,5.2496156,0,0,0.00011513794,0,0,0,0
1909.8333,0,13.188329,0,0,0.00014434348,0,0,0,0
1909.9167,0,14.660645,0,0,0.16450401,0,0,0,0
1910,0,14.824768,0,0,17.097498,0,0,0,0
1910.0833,9.1987378,14.381847,0,45.420824,29.992495,0,31.909647,0,0
1910.1667,9.6379615,13.279591,0,51.617874,30.797617,0,35.987963,0,0
1910.25,8.1925771,11.950562,0,48.070931,28.849426,0,32.978371,11.796829,0
1910.3333,6.6931495,9.8257352,0,45.953822,27.150138,0,29.669961,43.526574,0
1910.4167,0.34268303,6.0243684,0,3.0031588,26.527772,0,1.8603809,43.163195,0
1910.5,0,3.6659817,0,0,25.096532,0,0,37.03917,0
1910.5833,0,0.014073627,0,0,22.107879,0,0,13.256021,0
1910.6667,0,0.0085210926,0,0,13.47531,0,0,0.0082752898,0
1910.75,0,0.36745842,0,0,3.0123409,0,0,0,0
1910.8333,0,5.7877057,0,0,2.2481752,0,0,0,0
1910.9167,5.3688117,7.9436016,0,3.7637048,2.2406558,0,12.625542,0.33806224,0
1911,9.3533857,8.5746674,0,6.8712792,2.1816356,0,22.47012,4.0010441,0
1911.0833,8.2016032,8.5287054,0,6.3738012,2.0763016,0,19.948752,9.8748517,0
1911.1667,7.2180835,8.290861,0,5.9173065,1.9739858,0,17.43731,13.921141,0
1911.25,6.3527752,7.9280125,0,5.1817916,1.8112484,0,14.977613,19.789257,0
1911.3333,5.6219861,7.5044741,0,4.3008487,1.5845975,0,13.48401,28.100962,0
1911.4167,0.35132467,7.1686715,0,0.30207806,1.5963306,0,0.79118751,17.721674,0
1911.5,0,3.5576816,0,0,0.52440214,0,0,6.3673052,0
1911.5833,0,0.015303638,0,0,0.0012113896,0,0,0.38306644,0
1911.6667,0,0.0093895123,0,0,0.0006661762,0,0,0,0
1911.75,0,0.17746872,0,0,0.00031662687,0,0,0,0
1911.8333,0.82392192,6.0233434,0,2.0704292,0.0002444033,0,0.58340933,0,0
1911.9167,11.41938,8.3939039,0,29.932702,0.00023390406,0,8.494686,0,0
1912,9.8189236,8.6286716,0,27.81361,0.00022204107,0,8.0299797,0,0
1912.0833,8.5315755,8.6994457,0,25.880307,0.000207554,0,7.6114988,0,0
1912.1667,7.4442176,8.4931638,0,24.048548,0.00019700139,0,7.2158335,0,0
1912.25,6.4946657,8.1230547,0,22.27043,1.6748277,0,6.8743248,0,0
1912.3333,5.0032799,7.6734622,0,18.778529,7.8926084,0,6.6585074,0,0
1912.4167,0,6.8349656,0,0,6.7630133,0,0,0,0
1912.5,0,0.8665546,0,0,0.0037238388,0,0,0,0
1912.5833,0,0.0086444287,0,0,0.0016616466,0,0,0,0
1912.6667,0,0.0088490078,0,0,0.00037709473,0,0,0,0
1912.75,0,0.008914851,0,0,2.1345795e-06,0,0,0,0
1912.8333,4.7169339,4.3455766,0,18.031928,0.0002732262,0,8.8037018,0,0
1912.9167,11.395853,8.1074218,0,46.284948,0.00068215876,0,22.743661,0,0
1913,9.7813137,8.7475233,0,42.691951,0.0008250904,0,21.126983,0,0
1913.0833,8.4576564,8.725913,0,39.430811,0.0010508944,0,19.683708,0,0
1913.1667,7.3420181,8.4600285,0,36.323042,0.0012613689,0,18.331061,0,0
1913.25,6.3780674,8.0315202,0,33.344866,4.8901702,0,17.090992,0,0
1913.3333,4.547394,7.5610089,0,25.689851,16.825647,0,13.831431,0,0
1913.4167,0,4.4106468,0,0,9.525713,0,0,0,0
1913.5,0,0.0092230531,0,0,0.0022088307,0,0,0,0
1913.5833,0,0.0091525325,0,0,0.0016173279,0,0,0,0
1913.6667,0,0.0093216893,0,0,0.00052766802,0,0,0,0
1913.75,0,0.53663692,0,0,0.00017935863,0,0,0,0
1913.8333,0,7.9471369,0,0,0.00015456723,0,0,0,0
1913.9167,0,10.127363,0,0,0.00018091408,0,0,0,0
1914,4.7444901,10.884322,0,22.711459,1.0631362,0,14.50248,0,0
1914.0833,8.7211856,10.523024,0,43.523388,12.41355,0,28.157282,0,0
