final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.0,1.0,1.0,1.0,0.791194131606806,0.4400820631042601,0.1442890381208372
2,mort_scalar_hydrfailure_9,Mortality,10.0,20.0,4.0,6.0,0.19601077096358296,0.1968350996031917,0.038908771257871524
3,turnover_leaf_7,Turnover,12.666666666666666,2.0,11.0,25.0,0.4362589740058345,0.14122715592479188,0.030404791235247388
4,alloc_storage_cushion_7,Allocation,13.666666666666666,8.0,16.0,17.0,0.27213217216868035,0.12290407186923244,0.0316766120624741
5,phen_chilltemp,Phenology,14.666666666666666,21.0,14.0,9.0,0.19326482040252896,0.13154231290534252,0.035988849610734425
6,allom_d2bl1_7,Allometry,16.0,14.0,18.0,16.0,0.23338216741935963,0.11820449810028531,0.0319988755752123
7,frag_seed_decay_rate_9,Turnover,21.333333333333332,41.0,13.0,10.0,0.12667669166660567,0.13164130768192392,0.0358036662691715
8,fnrt_prof_b_9,Turnover,22.333333333333332,42.0,7.0,18.0,0.12543042056808973,0.17284761890409647,0.031453419966055135
9,stoich_nitr_leaf_7,N,23.0,17.0,12.0,40.0,0.21606055793469617,0.14036875926105205,0.025441962184313546
10,nitr_store_ratio_9,N,25.333333333333332,43.0,5.0,28.0,0.12416741682750383,0.17836077889362253,0.029567397918986667
11,leaf_vcmax25top_7,Allometry,28.666666666666668,49.0,33.0,4.0,0.12028676213268344,0.08834922231363661,0.04303629749895234
12,l2fr_ini_9,Allocation,32.0,58.0,9.0,29.0,0.10585128463716795,0.1486658520173517,0.029479563865515993
13,frag_seed_decay_rate_7,Turnover,32.666666666666664,13.0,59.0,26.0,0.23509643467573685,0.07270387410247962,0.029955845632794798
14,phos_retrans_9,P,33.333333333333336,36.0,32.0,32.0,0.14206407937349708,0.08856535837639973,0.028961873058496797
15,nitr_store_ratio_10,N,34.0,48.0,40.0,14.0,0.12036557574283961,0.08471632574432895,0.03345993373015392
16,recruit_height_min_10,Allometry,34.333333333333336,31.0,53.0,19.0,0.14558066952324317,0.07821958632385559,0.03125047101930297
17,recruit_seed_supplement_9,Other,35.666666666666664,12.0,17.0,78.0,0.24080073678758918,0.12232441359271581,0.016051111615491973
18,phen_ncolddayslim,Phenology,35.666666666666664,69.0,31.0,7.0,0.09504348126381015,0.08924353501342416,0.03724514640162383
19,microb_bio_10,Microbial,38.0,62.0,10.0,42.0,0.10194374361667193,0.14240139753168585,0.02464167665653797
20,vmax_p_9,P,38.333333333333336,5.0,79.0,31.0,0.2938578205107186,0.06080686978822727,0.02899514720070325
21,allom_agb2_9,Allometry,38.666666666666664,15.0,50.0,51.0,0.22238839075396744,0.07935808222145999,0.021631802177433587
22,phen_coldtemp,Phenology,40.0,34.0,21.0,65.0,0.14286017191549458,0.10608657001853751,0.019414970095489502
23,vmax_nh4_7,N,40.0,4.0,82.0,34.0,0.34375591706174274,0.060090584893495065,0.02665465452355621
24,stoich_nitr_fineroot_10,N,42.666666666666664,28.0,80.0,20.0,0.1561456287066217,0.06043014902853249,0.031235883446690996
25,leaf_slatop_10,Allometry,43.333333333333336,26.0,66.0,38.0,0.15775070352277157,0.06985713533150965,0.02595818614780411
26,mort_scalar_hydrfailure_7,Mortality,43.666666666666664,10.0,113.0,8.0,0.2603184287070618,0.04422348615793248,0.03705762577154268
27,recruit_seed_germination_rate_9,Other,43.666666666666664,73.0,6.0,52.0,0.08727175243785269,0.17438745148397208,0.021464403390542664
28,pid_ki_7,Allocation,44.0,65.0,52.0,15.0,0.09947171004606327,0.07826049396949891,0.0331992001827866
29,nitr_retrans_7,N,44.666666666666664,50.0,72.0,12.0,0.11924756437062373,0.06628008442398585,0.035278415227868634
30,stoich_phos_leaf_10,P,45.333333333333336,33.0,43.0,60.0,0.14433846509965095,0.08313566814243627,0.019838642120778082
31,allom_d2h1_10,Allometry,45.666666666666664,85.0,49.0,3.0,0.0769596752099804,0.07961469273849871,0.04857213707563539
