final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.3333333333333333,2.0,1.0,1.0,0.15849145840865517,0.14241497036631667,0.05885705401820624
2,alloc_storage_cushion_7,Allocation,11.0,4.0,5.0,24.0,0.13042946093334443,0.0552323388203575,0.02109357109085919
3,stoich_nitr_leaf_7,N,14.0,18.0,14.0,10.0,0.09475514115098829,0.046019430744655594,0.029233949794564094
4,stoich_nitr_fineroot_10,N,26.0,3.0,72.0,3.0,0.1363418466744225,0.027361851084022584,0.04023686656705165
5,allom_agb2_9,Allometry,26.333333333333332,17.0,41.0,21.0,0.09520408209016841,0.03574378388856334,0.02200047149311911
6,frag_seed_decay_rate_9,Turnover,27.0,10.0,31.0,40.0,0.11609441052414536,0.03746805292019891,0.01636912840530388
7,frag_seed_decay_rate_7,Turnover,27.0,15.0,13.0,53.0,0.09924961946984184,0.04684381344719689,0.013343500165163665
8,turnover_leaf_7,Turnover,27.666666666666668,1.0,27.0,55.0,0.15880015106285852,0.03848185399225292,0.013147648929557077
9,l2fr_ini_9,Allocation,30.333333333333332,22.0,44.0,25.0,0.08606792821733965,0.03439710019290195,0.02038520228079767
10,fnrt_prof_b_9,Turnover,31.333333333333332,52.0,7.0,35.0,0.05307002676803981,0.051833716742650505,0.017063273436057052
11,recruit_seed_germination_rate_9,Other,34.333333333333336,36.0,2.0,65.0,0.0670481489917881,0.07274666204555581,0.011121434364039751
12,alloc_storage_cushion_9,Allocation,37.0,89.0,11.0,11.0,0.03325753157119979,0.048605128234675846,0.02866671263911847
13,recruit_init_density_9,Other,39.666666666666664,14.0,55.0,50.0,0.10171955354976088,0.03154547406095494,0.013796540311108692
14,allom_d2h2_9,Allometry,40.333333333333336,58.0,49.0,14.0,0.05056181474702986,0.03300837943553418,0.025907294848081918
15,stoich_phos_leaf_9,P,40.333333333333336,44.0,57.0,20.0,0.05776034371523629,0.03117418686081829,0.022246687892600148
16,allom_d2h1_9,Allometry,41.0,49.0,30.0,44.0,0.05407666390001108,0.037580124602994175,0.015908375728321936
17,phen_ncolddayslim,Phenology,42.333333333333336,34.0,54.0,39.0,0.07014443427640935,0.03168872005450842,0.016498962787638807
18,allom_d2bl2_7,Allometry,42.666666666666664,32.0,37.0,59.0,0.07092505366829784,0.036325048765687505,0.012072435230790844
19,vmax_no3_10,N,43.333333333333336,23.0,17.0,90.0,0.08601920058862653,0.04395290840037125,0.00881921708586268
20,pid_ki_7,Allocation,43.333333333333336,45.0,70.0,15.0,0.0564702820753245,0.027475086643171828,0.0253821334348163
21,mort_scalar_hydrfailure_9,Mortality,44.333333333333336,101.0,25.0,7.0,0.030436459622884934,0.039154776293105084,0.03326288193264221
22,allom_agb2_7,Allometry,44.666666666666664,40.0,22.0,72.0,0.058829405714586586,0.03991923761945584,0.01052801116752921
23,phos_store_ratio_10,P,45.333333333333336,61.0,73.0,2.0,0.04930276165140492,0.026826891707820637,0.04080706727553165
24,nitr_store_ratio_10,N,46.333333333333336,97.0,33.0,9.0,0.03150196701996746,0.0370964580353325,0.031429924383551515
25,recruit_height_min_7,Allometry,47.0,69.0,59.0,13.0,0.043720963312345026,0.029780973476681943,0.026581196824462423
26,recruit_seed_supplement_7,Other,47.0,41.0,18.0,82.0,0.05881462727680118,0.04352419202642584,0.00965568017030879
27,vmax_nh4_7,N,47.0,5.0,90.0,46.0,0.13029016194604923,0.022857208938466586,0.015301642943864612
28,pid_kd_7,Allocation,48.666666666666664,42.0,71.0,33.0,0.05863941953814343,0.02739913240873825,0.018295791634173605
29,nfix1_9,N,48.666666666666664,72.0,4.0,70.0,0.04121777451368984,0.055998105246597506,0.010697900149053363
30,stoich_nitr_leaf_9,N,48.666666666666664,7.0,47.0,92.0,0.1259331362694633,0.033466859070715,0.008647131279768268
31,leaf_vcmax25top_7,Allometry,50.333333333333336,70.0,62.0,19.0,0.043098488553347664,0.0289258321856833,0.023570355222939324
32,vmax_nh4_9,N,50.666666666666664,82.0,58.0,12.0,0.03762382979175897,0.029797462775494457,0.027613222526718027
33,allom_d2bl1_7,Allometry,53.666666666666664,88.0,50.0,23.0,0.03334874642278277,0.03270546840462364,0.021864864774710318
34,allom_d2h1_10,Allometry,53.666666666666664,59.0,68.0,34.0,0.04999501394150015,0.027903816100803117,0.017864591562805555
35,turnover_fnrt_7,Turnover,54.666666666666664,50.0,43.0,71.0,0.053898913852241985,0.03495944509329592,0.010664240003789117
36,recruit_seed_supplement_9,Other,57.0,100.0,8.0,63.0,0.03059418695013897,0.051379088809768936,0.011636991595988229
37,stoich_phos_leaf_10,P,57.0,55.0,87.0,29.0,0.05099685224580502,0.02337606126196958,0.01960260899296485
38,l2fr_ini_10,Allocation,57.0,54.0,51.0,66.0,0.051056881890917595,0.03252544487545874,0.010867073949948463
39,stoich_phos_fineroot_7,P,58.0,67.0,39.0,68.0,0.045342351348139305,0.035776627266542516,0.010819425314980367
40,leaf_vcmax25top_9,Allometry,58.0,48.0,9.0,117.0,0.05411961467100266,0.050121603114584114,0.0063101892937841905
41,vmax_p_9,P,58.333333333333336,21.0,63.0,91.0,0.08674756825965739,0.028587583689844952,0.008753014192542794
42,mort_scalar_hydrfailure_7,Mortality,58.666666666666664,25.0,91.0,60.0,0.08123110993981938,0.0227976825648718,0.011943924610844038
43,allom_agb3_10,Allometry,59.0,121.0,20.0,36.0,0.025078843657510317,0.04116202990148667,0.01686736165073645
44,mort_scalar_cstarvation_10,Mortality,60.0,46.0,23.0,111.0,0.05585253325296275,0.03966988987293645,0.006686947947279231
45,turnover_fnrt_9,Turnover,60.0,68.0,67.0,45.0,0.04405426818506126,0.028230615712309035,0.015366650364617065
46,leaf_slatop_7,Allometry,60.333333333333336,13.0,65.0,103.0,0.10361857968739943,0.02836601681086658,0.007248389155711901
47,allom_d2bl1_9,Allometry,60.333333333333336,108.0,35.0,38.0,0.02852852452825823,0.03672812169432659,0.016546994883012648
48,km_nh4_9,N,60.333333333333336,79.0,26.0,76.0,0.03835062761639838,0.039087872746404365,0.010180977829975516
49,nitr_store_ratio_9,N,60.666666666666664,138.0,40.0,4.0,0.016985883586394353,0.03577073889821029,0.037077748801034954
50,microb_bio_10,Microbial,61.666666666666664,66.0,10.0,109.0,0.04649068248373789,0.04990484528376871,0.0068747061177753
51,nitr_retrans_9,N,61.666666666666664,56.0,36.0,93.0,0.05097454681389211,0.03662285338099756,0.008517783347800572
52,stoich_nitr_leaf_10,N,61.666666666666664,60.0,109.0,16.0,0.04983713330112736,0.019343537028147503,0.025006437221248703
53,recruit_height_min_10,Allometry,62.0,6.0,100.0,80.0,0.12714499048697592,0.021168317217593404,0.009974706913628627
54,stoich_phos_leaf_7,P,62.0,9.0,38.0,139.0,0.11927975920096845,0.03626102242382783,0.00427179497945274
55,km_no3_10,N,62.333333333333336,39.0,32.0,116.0,0.0590544330219778,0.037294133577884164,0.006333346093350098
56,vmax_p_7,P,65.0,11.0,95.0,89.0,0.10975368403282214,0.022178934231195005,0.008888092867552424
57,vmax_ptase_9,P,65.0,137.0,6.0,52.0,0.018277216034184023,0.05205944156445666,0.013499343823357993
58,recruit_init_density_10,Other,65.33333333333333,38.0,48.0,110.0,0.06153604652180287,0.033231042012332505,0.00672961797438187
59,km_nh4_7,N,65.33333333333333,20.0,80.0,96.0,0.08928573588387304,0.0245700155484461,0.008409861880873499
60,stoich_nitr_fineroot_9,N,65.66666666666667,147.0,19.0,31.0,0.011516652458238333,0.04171509906630996,0.01863642381321597
61,phos_retrans_9,P,66.0,142.0,29.0,27.0,0.01520823442999458,0.03803508033295564,0.02003390694045949
62,phen_chilltemp,Phenology,66.33333333333333,111.0,45.0,43.0,0.027793860275410455,0.03407809067649584,0.015977729645194394
63,fnrt_prof_b_7,Turnover,67.0,51.0,53.0,97.0,0.05316306124654636,0.032072718701794165,0.008320322551030981
64,phos_store_ratio_7,P,67.33333333333333,24.0,76.0,102.0,0.0817535648231645,0.025189857678171144,0.007357054014864191
65,vmax_nh4_10,N,68.33333333333333,104.0,16.0,85.0,0.029362498471559365,0.04407622083174334,0.009475911018594928
66,recruit_seed_germination_rate_7,Other,68.66666666666667,135.0,24.0,47.0,0.018600772039666157,0.039324915696381,0.014749031079216548
67,recruit_seed_supplement_10,Other,69.33333333333333,19.0,128.0,61.0,0.09287435724065031,0.016261325547263124,0.011881568598628042
68,phen_coldtemp,Phenology,69.66666666666667,95.0,82.0,32.0,0.03216101749220616,0.02452711172846375,0.018484164009945493
69,maintresp_nonleaf_baserate,Other,70.33333333333333,84.0,12.0,115.0,0.03603960321324849,0.047426687512125844,0.006402375045868808
70,allom_d2bl1_10,Allometry,71.33333333333333,65.0,141.0,8.0,0.048195029609185445,0.0125199353196127,0.032997110294758936
71,fnrt_prof_b_10,Turnover,72.0,26.0,116.0,74.0,0.07948270027562097,0.018171469401297914,0.010201256227158857
72,nitr_store_ratio_7,N,72.66666666666667,16.0,75.0,127.0,0.09570409114584882,0.025302936196398566,0.00511333606440441
73,leaf_slatop_10,Allometry,73.33333333333333,28.0,60.0,132.0,0.07291834842566396,0.029641712172216436,0.004703795984428398
74,frag_seed_decay_rate_10,Turnover,73.33333333333333,29.0,118.0,73.0,0.07168741544053361,0.018088768124011667,0.010388801934315496
75,alpha_ptase_7,P,74.0,107.0,3.0,112.0,0.0289277705033809,0.0626247117968111,0.006561321568751768
76,pid_kp_7,Allocation,75.0,99.0,28.0,98.0,0.03104784332751032,0.03829602359875834,0.0077367715250382715
77,stoich_phos_fineroot_10,P,75.0,43.0,46.0,136.0,0.057937374876992666,0.03360067366699978,0.004587592997015313
78,vmax_no3_7,N,75.0,35.0,89.0,101.0,0.06989099306168503,0.02311408509849171,0.0074310039506254606
79,allom_dbh_maxheight_7,Allometry,75.66666666666667,31.0,77.0,119.0,0.07105140863958175,0.0248725248988475,0.005982441547284215
80,grperc_9,Other,77.33333333333333,12.0,85.0,135.0,0.10770522722348978,0.024072389372751097,0.004621746450147715
