final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.0,1.0,1.0,1.0,0.12407805038519232,0.03121920229375364,0.019923813456464663
2,turnover_leaf_7,Turnover,9.666666666666666,2.0,16.0,11.0,0.05994784652868234,0.009039698414163796,0.005375336201298484
3,allom_d2bl1_7,Allometry,13.0,7.0,15.0,17.0,0.040260931816883054,0.009148008995015102,0.004611847505670926
4,mort_scalar_hydrfailure_9,Mortality,13.0,12.0,2.0,25.0,0.03209580391489376,0.016697246308031925,0.0040591391026438784
5,alloc_storage_cushion_7,Allocation,14.0,9.0,12.0,21.0,0.03845561873078182,0.009450344765567848,0.004242448996819267
6,phen_coldtemp,Phenology,14.0,26.0,8.0,8.0,0.02263844162650126,0.01059755531627001,0.005798239882812943
7,phen_chilltemp,Phenology,18.0,43.0,9.0,2.0,0.01676199173211946,0.010384835325495752,0.007727659625031708
8,l2fr_ini_9,Allocation,18.666666666666668,37.0,6.0,13.0,0.017702495223935397,0.0119471765477225,0.005033544378816501
9,alloc_storage_cushion_9,Allocation,22.333333333333332,58.0,4.0,5.0,0.014193655108021886,0.014803895630831766,0.00711594567225927
10,leaf_slatop_10,Allometry,24.0,30.0,20.0,22.0,0.021463539147825495,0.0078633668299855,0.00421351399057675
11,fnrt_prof_b_9,Turnover,26.666666666666668,54.0,19.0,7.0,0.014365336702214657,0.008276277750157084,0.00633715145660981
12,vmax_p_9,P,31.0,17.0,67.0,9.0,0.028431004241637702,0.004900437012302796,0.005554472341338509
13,stoich_nitr_leaf_7,N,32.333333333333336,6.0,41.0,50.0,0.0404366479503064,0.005942075004010836,0.003274851401419317
14,microb_bio_10,Microbial,32.666666666666664,20.0,14.0,64.0,0.027110485212811414,0.00915569334695728,0.0028167936952887226
15,leaf_vcmax25top_7,Allometry,32.666666666666664,36.0,48.0,14.0,0.018467355978939295,0.005702984258256833,0.004921985516833564
16,recruit_height_min_10,Allometry,33.333333333333336,27.0,34.0,39.0,0.022510535624208527,0.006301637812685395,0.003702222166651428
17,km_ptase_7,P,33.666666666666664,13.0,57.0,31.0,0.0296892854574022,0.005081719461653684,0.0038673063037918966
18,alpha_ptase_7,P,34.333333333333336,24.0,32.0,47.0,0.024326785566694608,0.006761162012930209,0.0033582363964745087
19,pid_ki_7,Allocation,36.333333333333336,42.0,27.0,40.0,0.017061137486928373,0.007002028630613355,0.0036986810424625705
20,turnover_fnrt_7,Turnover,37.0,60.0,25.0,26.0,0.013901139530191687,0.007159840475328274,0.004050117077758801
21,allom_dbh_maxheight_7,Allometry,37.333333333333336,34.0,26.0,52.0,0.019912694483563625,0.007103344174739108,0.003266367068647637
22,frag_seed_decay_rate_10,Turnover,43.333333333333336,77.0,18.0,35.0,0.010827041604192714,0.008356295694095416,0.003752780304239654
23,nfix1_9,N,43.333333333333336,103.0,3.0,24.0,0.0075437398779470985,0.015389748397299233,0.004164319591317064
24,recruit_seed_supplement_9,Other,44.0,50.0,33.0,49.0,0.015473300321735458,0.006644611611787447,0.0033098019852459
25,allom_d2h1_10,Allometry,46.666666666666664,69.0,68.0,3.0,0.012159989824615894,0.0048777419443456664,0.007538599921177035
26,nitr_store_ratio_10,N,46.666666666666664,51.0,71.0,18.0,0.014825398630212512,0.004747787402864336,0.004548492707358356
27,nitr_store_ratio_9,N,46.666666666666664,104.0,7.0,29.0,0.00750358602075209,0.010918085331252167,0.003887788259769708
28,phen_ncolddayslim,Phenology,47.0,73.0,53.0,15.0,0.011388247829118082,0.0053993058817273345,0.004901013618314891
29,stoich_phos_leaf_10,P,50.0,64.0,29.0,57.0,0.012534851599137066,0.006869743454200433,0.0030113830509931787
30,nitr_store_ratio_7,N,51.0,46.0,62.0,45.0,0.016423327917137933,0.005015985303470024,0.0034289981057873866
31,mort_scalar_hydrfailure_7,Mortality,52.0,5.0,124.0,27.0,0.04101188393783114,0.0022982987438629173,0.003911532557301273
32,recruit_seed_supplement_7,Other,52.333333333333336,33.0,31.0,93.0,0.02050823726784044,0.006769640918818631,0.002211595662728083
33,fnrt_prof_a_9,Turnover,52.333333333333336,94.0,30.0,33.0,0.008382947313887017,0.006786554561931667,0.003820770394163131
34,stoich_nitr_leaf_9,N,54.0,38.0,35.0,89.0,0.017636430979690452,0.0062528616959975246,0.0022715162108111666
35,allom_agb2_7,Allometry,54.333333333333336,29.0,63.0,71.0,0.021531339356944745,0.004995860860649167,0.0025774928107465717
36,stoich_nitr_fineroot_10,N,56.0,22.0,100.0,46.0,0.026954650327166676,0.003550179441653512,0.0033631239639246666
37,allom_d2ca_coefficient_min_9,Allometry,56.333333333333336,49.0,58.0,62.0,0.01569590183759816,0.005061731598852831,0.002909414699100159
38,frag_seed_decay_rate_7,Turnover,56.666666666666664,19.0,108.0,43.0,0.02788152251545157,0.002999148802837192,0.0035493086111164827
39,phos_retrans_9,P,57.0,59.0,76.0,36.0,0.013928330566673816,0.004448179731671479,0.0037468667528770916
40,leaf_slatop_7,Allometry,58.0,10.0,106.0,58.0,0.03764578226185312,0.0031735110897943247,0.002993936119260138
41,nitr_retrans_7,N,58.333333333333336,48.0,79.0,48.0,0.016146421432781208,0.004299925389716252,0.003319132971328467
42,maintresp_nonleaf_baserate,Other,58.666666666666664,23.0,85.0,68.0,0.025708893255442216,0.0040768751086147,0.0026453936188070826
43,allom_d2bl2_7,Allometry,59.333333333333336,21.0,56.0,101.0,0.027014045467283032,0.005116172185244109,0.0020183469816840746
44,fnrt_prof_b_7,Turnover,60.666666666666664,52.0,52.0,78.0,0.014812017404482715,0.0054297811419331665,0.0024754770636359253
45,mort_scalar_cstarvation_10,Mortality,61.0,128.0,39.0,16.0,0.005113206125226886,0.006053239118203059,0.004880501469482676
46,recruit_seed_germination_rate_9,Other,62.333333333333336,95.0,11.0,81.0,0.008342641615551448,0.009814462121893332,0.0024048600631291976
47,leaf_vcmax25top_10,Allometry,62.333333333333336,28.0,54.0,105.0,0.02249223828447232,0.005305978510233333,0.0019418065366935552
48,phos_store_ratio_10,P,63.0,83.0,102.0,4.0,0.00972483559222977,0.00350809503205875,0.007190045284876481
49,km_nh4_9,N,63.333333333333336,122.0,13.0,55.0,0.005752200522729626,0.009212598174199524,0.003221544589215139
50,allom_agb2_9,Allometry,63.666666666666664,40.0,40.0,111.0,0.017231674462623157,0.006047727290704768,0.0018404992909982314
51,vmax_nh4_7,N,64.0,8.0,69.0,115.0,0.03897417024115127,0.004836679175103184,0.0016648194588680082
52,vmax_ptase_9,P,64.66666666666667,131.0,21.0,42.0,0.00487299667672901,0.007720933241478334,0.0036258129240711004
53,allom_d2bl1_9,Allometry,65.0,87.0,17.0,91.0,0.009125448779705914,0.008840054423867847,0.0022358420799495284
54,phos_store_ratio_7,P,65.0,4.0,72.0,119.0,0.04760582464155554,0.004655398544188267,0.0015814924412460242
55,km_no3_10,N,65.66666666666667,74.0,111.0,12.0,0.011240055838650223,0.002796127304254024,0.005123110310456771
56,mort_freezetol_7,Mortality,66.0,100.0,61.0,37.0,0.007597814189656473,0.00502864912924035,0.0037377463862252507
57,stoich_phos_leaf_7,P,66.66666666666667,31.0,43.0,126.0,0.021150547070327153,0.005913040353936914,0.0014026534978893448
58,recruit_init_density_9,Other,67.0,84.0,83.0,34.0,0.009427651596005083,0.004159305399056233,0.003811533732598586
59,recruit_seed_germination_rate_7,Other,67.0,102.0,36.0,63.0,0.007561591607976586,0.006211847346740304,0.002880745214475404
60,vmax_p_7,P,68.0,3.0,78.0,123.0,0.054330653647911634,0.004398543715654667,0.0015222242262190836
61,mort_freezetol_10,Mortality,69.33333333333333,57.0,24.0,127.0,0.014237473710719718,0.007375748316551417,0.0013980741519643357
62,leaf_vcmax25top_9,Allometry,69.66666666666667,56.0,46.0,107.0,0.014244675350993944,0.00579917426365725,0.0018898422580185532
63,recruit_height_min_9,Allometry,69.66666666666667,44.0,137.0,28.0,0.016501994723089063,0.0017615854763835476,0.0039035346004670296
64,microb_bio_7,Microbial,71.0,41.0,119.0,53.0,0.017180301933350833,0.0024990173933144657,0.003253210093148213
65,recruit_seed_alloc_9,Allocation,71.0,72.0,109.0,32.0,0.01165487087927067,0.0028833948578629253,0.0038387215767447754
66,grperc_10,Other,71.66666666666667,68.0,65.0,82.0,0.012167002764778029,0.004906765041149999,0.0023876524027809836
