year,froot_gCm2,leaf_gCm2,p_uptake_demand_ratio,gpp_pft7_gCm2day,gpp_pft9_gCm2day,gpp_pft10_gCm2day,l2fr_site,l2fr_canopy,l2fr_ustory,leaf_alloc_gCm2yr,froot_alloc_gCm2yr
1901,2.9146113,309.14059,0.37110639,0.0099313461,0,0,0.025837647,0.013830139,0.010016534,79.521221,0.0045671867
1901.0833,2.7504319,292.08237,0.26573503,-0.00022498805,0,0,0.025971269,0.013481181,0.010021083,75.129379,0
1901.1667,2.6609213,282.94638,0.26124537,-0.0020124897,0,0,0.025691893,0.013155442,0.010019108,72.780026,0
1901.25,2.5756583,274.2537,0.25298506,-0.0056828374,0,0,0.025247239,0.012850321,0.010017257,70.544657,0
1901.3333,2.4964807,267.23158,0.23562184,0.58928577,0,-5.5197384e-06,0.024133664,0.012574823,0.010015587,162.23603,0.079015285
1901.4167,2.5378433,287.79873,0.15609673,4.9513311,0.0098929463,0.017132706,0.023189824,0.012325794,0.010014078,530.72765,3.9244042
1901.5,3.0603164,317.9315,0.020619659,12.703161,0.027938655,0.10602692,0.021691984,0.012141062,0.010012716,466.85821,9.1228957
1901.5833,4.0701977,342.2986,0.00081290299,11.133371,0.021581491,0.10468781,0.025438493,0.012791347,0.010011736,397.63586,15.598678
1901.6667,4.7858069,356.62022,0.00067197351,6.7291325,0.011026882,0.051576134,0.029830763,0.01415939,0.010029527,318.14961,10.409595
1901.75,4.5637158,363.10291,0.00057534309,2.0911173,0,0,0.028504452,0.015166367,0.01005064,183.40212,2.5054103
1901.8333,3.7781792,358.64821,0.00047777095,0.0097105841,0,0,0.025833761,0.015350233,0.010047107,100.20671,0.14038366
1901.9167,3.3028719,336.16397,0.00053233485,-1.0209489e-08,0,0,0.023632566,0.014883809,0.010042871,110.15022,0.30557368
1902,3.1205597,319.78869,0.0282788,-4.0708897e-07,0,0,0.023688247,0.014409192,0.01003989,89.4218,2.1814544
1902.0833,2.8916765,300.08301,0.0042811646,-3.2416895e-06,0,0,0.023494534,0.013997296,0.010036164,77.185872,0
1902.1667,2.6824342,286.21984,0.0041958997,-0.00063537423,0,0,0.023209522,0.013623889,0.010032778,73.620496,0
1902.25,2.598556,277.51201,0.0041613476,-0.001614323,-5.7090673e-07,-2.8895093e-05,0.022768565,0.013273937,0.010029605,71.381409,0
1902.3333,2.5201032,270.8416,0.0046244762,0.77373159,0.0022325799,0.00049769571,0.021441616,0.012957832,0.010026741,189.4478,0.075828626
