year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1901,62.259538,12.698244,0,286.29881,5.9673942,0,28.621119,0.0010511978,0
1901.0833,63.510502,16.902063,0,290.61125,5.6321176,0,26.703504,0.00095416967,0
1901.1667,62.739986,21.901026,0,285.41284,5.3166705,0,24.036273,0.00086577438,0
1901.25,61.878593,26.765942,0,280.14746,5.0102372,0,21.498115,0.00078293257,0
1901.3333,60.931407,31.584473,0,274.99027,4.7231687,0,19.170138,0.00070808027,0
1901.4167,2.0150151,33.205847,0,9.0773669,16.107285,0,0.60062976,0.0019637803,0
1901.5,0,30.49449,0,0,18.643451,0,0,0.0022622257,0
1901.5833,0,13.898167,0,0,8.3670051,0,0,0.002012338,0
1901.6667,0,9.8893108,0,0,4.6507122,0,0,0.0017886367,0
1901.75,0,10.967987,0,0,3.3783239,0,0,0.0012194015,0
1901.8333,64.627812,17.218314,0,297.3928,2.9064847,0,25.550576,0.00085264482,0
1901.9167,65.987685,23.383236,0,302.04166,2.7462097,0,23.947479,0.00076370183,0
1902,65.105173,17.498243,0,296.36798,2.3138249,0,21.63678,0.0006578826,0
1902.0833,64.279898,23.845284,0,291.08008,2.1997132,0,19.654093,0.00059240607,0
1902.1667,63.431256,29.510734,0,285.89836,2.0919968,0,17.864863,0.00053356251,0
1902.25,62.543583,35.610604,0,280.64569,1.9869006,0,16.192324,0.00047881919,0
1902.3333,39.844433,41.244923,0,178.33132,1.8915995,0,9.6394705,0.00043199407,0
1902.4167,0,23.233456,0,0,6.7425147,0,0,0.0021115281,0
1902.5,0,18.341952,0,0,5.8145118,0,0,0.0015768556,0
1902.5833,0,13.425728,0,0,4.1283626,0,0,0.0011743963,0
1902.6667,0,12.588998,0,0,3.6684372,0,0,0.0009136394,0
1902.75,0,13.330532,0,0,3.1308,0,0,0.0006379535,0
1902.8333,0,16.172731,0,0,2.575638,0,0,0.00039790746,0
1902.9167,0,22.237813,0,0,2.4764449,0,0,0.00038663362,0
1903,0,20.639558,0,0,2.4266506,0,0,0.00032782361,0
1903.0833,0,26.514656,0,0,2.3480747,0,0,0.00031877438,0
1903.1667,50.209194,31.989895,0,231.15676,2.2564816,0,22.138764,0.00030293463,0
1903.25,66.74573,35.840482,0,306.41121,2.127853,0,27.228071,0.00027102307,0
1903.3333,12.796495,37.154258,0,58.6381,2.0229251,0,4.9506376,0.00024847392,0
1903.4167,0,23.877509,0,0,9.190952,0,0,0.0032235671,0
