final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.3333333333333333,1.0,1.0,2.0,0.18995343257689581,0.08980435959084333,0.04816962998097382
2,recruit_seed_supplement_10,Other,13.0,16.0,22.0,1.0,0.07658572270702384,0.03746350923502966,0.049914756757381024
3,alloc_storage_cushion_9,Allocation,15.0,9.0,21.0,15.0,0.09946026844576913,0.03783260743028667,0.021240483183074442
4,recruit_height_min_10,Allometry,19.666666666666668,5.0,20.0,34.0,0.11535244636733144,0.038261098762084604,0.016296175003635914
5,recruit_seed_supplement_9,Other,20.0,8.0,2.0,50.0,0.10423461164175331,0.0486501119812995,0.013173355443159911
6,allom_dbh_maxheight_7,Allometry,27.333333333333332,6.0,37.0,39.0,0.11013620967872491,0.029340449942245227,0.015334696373174656
7,vmax_p_9,P,27.666666666666668,64.0,10.0,9.0,0.0426239379429313,0.04198501272221304,0.024975793273834763
8,stoich_phos_leaf_7,P,28.666666666666668,10.0,24.0,52.0,0.09606321283820501,0.03678208715029509,0.01307391145638215
9,l2fr_ini_7,Allocation,29.0,46.0,27.0,14.0,0.05125896728933372,0.03549394164898424,0.021897802706957438
10,leaf_vcmax25top_7,Allometry,30.666666666666668,63.0,26.0,3.0,0.04383956317827497,0.036398322684955,0.034508381816497534
11,mort_scalar_hydrfailure_7,Mortality,31.0,45.0,23.0,25.0,0.05173364536359542,0.03708180430429417,0.018137725981986257
12,frag_seed_decay_rate_7,Turnover,32.333333333333336,30.0,56.0,11.0,0.06293912440323776,0.023479951180779335,0.024722789003053438
13,phen_coldtemp,Phenology,32.333333333333336,41.0,44.0,12.0,0.057177180210524994,0.027114887520285836,0.022687321117008486
14,fnrt_prof_b_7,Turnover,33.666666666666664,43.0,50.0,8.0,0.05508564528064832,0.025367855015288335,0.02527777962309396
15,alloc_storage_cushion_10,Allocation,34.0,23.0,73.0,6.0,0.07027726588656237,0.019876989761016386,0.02659310686677245
16,recruit_seed_supplement_7,Other,34.333333333333336,29.0,45.0,29.0,0.0634562160466158,0.0268754483035325,0.017254924249129482
17,stoich_nitr_leaf_9,N,41.0,15.0,82.0,26.0,0.07664645480144389,0.018298077972982888,0.017623324208755828
18,microb_bio_10,Microbial,44.0,28.0,3.0,101.0,0.06465923062152039,0.046535773832704144,0.00785486790522459
19,allom_agb2_9,Allometry,44.0,12.0,59.0,61.0,0.08265996158038051,0.023050275847991412,0.012083483867549623
20,l2fr_ini_9,Allocation,44.333333333333336,25.0,5.0,103.0,0.0683539106564635,0.045760504696024995,0.007677468510271086
21,mort_scalar_cstarvation_10,Mortality,44.666666666666664,19.0,79.0,36.0,0.07507722390251995,0.01938606797692676,0.015912273704624065
22,allom_d2bl1_9,Allometry,46.666666666666664,61.0,11.0,68.0,0.044692262331016294,0.041963097943281666,0.011188874099504939
23,recruit_seed_germination_rate_9,Other,46.666666666666664,13.0,15.0,112.0,0.0774265282849917,0.039850386531250864,0.007098628185605146
24,km_nh4_7,N,47.333333333333336,94.0,13.0,35.0,0.02975185145680241,0.04092091872996167,0.01609313629438013
25,turnover_fnrt_7,Turnover,47.666666666666664,51.0,16.0,76.0,0.04836454260971075,0.03948087944128417,0.01039211963677127
26,vmax_no3_9,N,48.0,47.0,39.0,58.0,0.05107291328814783,0.02865927858289317,0.012258872631380433
