final_rank,parameter,param_type,combined_rank,rank_PFT7,rank_PFT9,rank_PFT10,mu_star_PFT7,mu_star_PFT9,mu_star_PFT10
1,phen_gddthresh_c,Phenology,1.3333333333333333,1.0,2.0,1.0,0.09164154971540187,0.010369546730446457,0.00914653995182358
2,phen_chilltemp,Phenology,13.0,6.0,26.0,7.0,0.030169909585414566,0.0046143083830863995,0.004143180419453701
3,recruit_seed_supplement_9,Other,17.333333333333332,7.0,25.0,20.0,0.02626968373672228,0.004616454099663042,0.003257108163997285
4,alloc_storage_cushion_10,Allocation,22.0,30.0,23.0,13.0,0.01624723772480792,0.004679377013015752,0.0034382486494993546
5,l2fr_ini_9,Allocation,23.666666666666668,13.0,1.0,57.0,0.023001286076281997,0.010600076095532,0.0023875659872689098
6,pid_ki_7,Allocation,24.0,32.0,21.0,19.0,0.014995452064207614,0.004739615700407051,0.003258477772140908
7,allom_d2bl2_9,Allometry,24.0,49.0,13.0,10.0,0.011468230915888337,0.005265831370811084,0.0035160662504274466
8,recruit_seed_supplement_7,Other,26.0,16.0,46.0,16.0,0.021655774058560402,0.0036003267426140007,0.0032870350171334923
9,recruit_seed_supplement_10,Other,27.333333333333332,48.0,20.0,14.0,0.011563029810823024,0.004840748862193173,0.0034115187070035673
10,phen_coldtemp,Phenology,28.0,74.0,5.0,5.0,0.008458008441937831,0.007741709600625211,0.004602199466629116
11,nitr_retrans_9,N,29.333333333333332,22.0,10.0,56.0,0.01936829867416522,0.006370358593521767,0.002402128322657003
12,stoich_phos_leaf_7,P,30.0,29.0,32.0,29.0,0.016319062929412858,0.004405968274989749,0.0029321106352003723
13,frag_seed_decay_rate_9,Turnover,31.0,27.0,41.0,25.0,0.01682128618698865,0.003820023294305926,0.0030397103712535003
14,alloc_storage_cushion_9,Allocation,33.333333333333336,60.0,9.0,31.0,0.01024456179516628,0.006399744303128284,0.0029086629036312603
15,nitr_store_ratio_9,N,35.333333333333336,65.0,18.0,23.0,0.00934054265397115,0.004945288011958434,0.0031192600735071014
16,vmax_p_9,P,36.666666666666664,68.0,30.0,12.0,0.008780380478500329,0.004482170783028103,0.003490407479429108
17,phos_store_ratio_9,P,37.666666666666664,45.0,3.0,65.0,0.013108525337806811,0.008529209138737176,0.002194993261295593
18,fnrt_prof_b_9,Turnover,38.666666666666664,76.0,29.0,11.0,0.008397461345215332,0.00448414493122575,0.003497349093239181
19,alpha_ptase_7,P,39.666666666666664,10.0,64.0,45.0,0.02369696756497165,0.002811854494206217,0.002635703873536989
20,leaf_vcmax25top_7,Allometry,39.666666666666664,82.0,11.0,26.0,0.007556085532671276,0.0055811912507930835,0.0030026183684352084
21,pid_ki_9,Allocation,40.0,101.0,4.0,15.0,0.006247722921974677,0.008122472867657613,0.003293461750745426
22,alloc_storage_cushion_7,Allocation,41.333333333333336,3.0,7.0,114.0,0.04392172687471832,0.006921790806343256,0.001371168215822533
23,allom_d2bl1_9,Allometry,42.333333333333336,33.0,19.0,75.0,0.014954132603255442,0.004910757017570892,0.002033351731173187
24,stoich_nitr_leaf_9,N,42.666666666666664,12.0,39.0,77.0,0.023011522259815786,0.003835172657162,0.001984026887496267
25,leaf_slatop_7,Allometry,43.0,17.0,80.0,32.0,0.020862106361883452,0.002483840382665489,0.002886785604117498
26,recruit_seed_germination_rate_9,Other,43.0,28.0,55.0,46.0,0.016534224819610924,0.003132576469424427,0.002614973119405701
27,nitr_store_ratio_7,N,43.0,14.0,27.0,88.0,0.022858735943027994,0.00459693284278889,0.0017730079281137367
28,leaf_slatop_10,Allometry,44.666666666666664,100.0,17.0,17.0,0.006271710783640373,0.0050243274707424315,0.0032785450799633397
29,frag_seed_decay_rate_7,Turnover,47.666666666666664,43.0,36.0,64.0,0.013513036226915241,0.004112580818623959,0.002204419775063525
30,stoich_nitr_fineroot_10,N,48.666666666666664,38.0,78.0,30.0,0.01431618800716848,0.002539755698885614,0.0029311384646977415
31,vmax_no3_10,N,50.333333333333336,20.0,38.0,93.0,0.01966359533270099,0.004023418780161402,0.0017515085065356163
32,allom_d2bl1_7,Allometry,51.333333333333336,73.0,42.0,39.0,0.00851583386225837,0.0038191063605582665,0.0027094771931296248
33,allom_dbh_maxheight_7,Allometry,52.666666666666664,18.0,48.0,92.0,0.020765025376607526,0.0034218587344879217,0.001753002340507678
34,fnrt_prof_b_7,Turnover,53.0,56.0,54.0,49.0,0.010706859475455662,0.0031630284249380834,0.002555041190449125
35,microb_bio_10,Microbial,53.666666666666664,63.0,31.0,67.0,0.009686924274013412,0.004467854492747509,0.0021814017842620025
36,mort_scalar_hydrfailure_9,Mortality,54.0,44.0,14.0,104.0,0.013255519202908465,0.005262636496230517,0.0015155886302959675
37,vmax_no3_9,N,54.666666666666664,24.0,24.0,116.0,0.01882482596705194,0.004646907398020908,0.0013394682557485097
38,stoich_phos_leaf_10,P,56.333333333333336,78.0,50.0,41.0,0.008153312213550989,0.0032798102228115003,0.0026996652605729837
39,phen_ncolddayslim,Phenology,56.666666666666664,37.0,89.0,44.0,0.014478173694482998,0.002279003400392661,0.0026455977632242837
40,maintresp_nonleaf_baserate,Other,56.666666666666664,19.0,91.0,60.0,0.020277516133828645,0.0021447661281940836,0.002369761296596718
41,nfix1_9,N,56.666666666666664,92.0,12.0,66.0,0.00662852124951344,0.005506132101958284,0.002193713270819635
42,allom_agb3_10,Allometry,57.0,23.0,52.0,96.0,0.018849984805206773,0.0032377283127594018,0.0016542679720118578
43,nitr_retrans_7,N,58.666666666666664,41.0,62.0,73.0,0.013992472681209631,0.00282255262652825,0.0020758991318172945
44,mort_freezetol_7,Mortality,59.333333333333336,83.0,37.0,58.0,0.007475721909748708,0.004065059626090416,0.002381075974352854
45,stoich_nitr_fineroot_7,N,59.333333333333336,72.0,44.0,62.0,0.008549022275330385,0.0037299164238557003,0.002255383627793172
46,stoich_nitr_fineroot_9,N,59.666666666666664,31.0,115.0,33.0,0.01504684064354732,0.00172932108316025,0.0028464322372798107
47,recruit_height_min_10,Allometry,60.333333333333336,91.0,6.0,84.0,0.006634194151822459,0.007635812126647069,0.0018444953927650835
48,stoich_phos_leaf_9,P,60.666666666666664,61.0,99.0,22.0,0.01017690220216219,0.0019949613888987053,0.0032179427746733048
49,allom_agb2_9,Allometry,61.0,35.0,68.0,80.0,0.01480133881810585,0.0027144497202030767,0.0019001208428548937
50,leaf_vcmax25top_10,Allometry,61.0,85.0,16.0,82.0,0.007393277333319196,0.005161998863392583,0.0018900656945105368
51,mort_scalar_hydrfailure_7,Mortality,61.333333333333336,34.0,51.0,99.0,0.014875996558237353,0.003241092424620166,0.0015882246186202976
52,phos_retrans_9,P,61.666666666666664,104.0,33.0,48.0,0.006121265511918181,0.004296507206974607,0.0025991704297456336
53,km_nh4_7,N,61.666666666666664,15.0,43.0,127.0,0.021929202598199773,0.003782769835381833,0.0010361332316177535
54,fnrt_prof_a_9,Turnover,62.333333333333336,110.0,69.0,8.0,0.005731102635525728,0.0026903830574640836,0.003934800261662284
55,stoich_phos_fineroot_10,P,63.0,8.0,94.0,87.0,0.024597034418073975,0.0020719622120003787,0.0018092791868417567
56,fnrt_prof_b_10,Turnover,64.33333333333333,67.0,88.0,38.0,0.00896092975549632,0.0022921614791572,0.002738770276193001
57,l2fr_ini_10,Allocation,65.33333333333333,57.0,135.0,4.0,0.010473841284499946,0.001347991696705602,0.005399063395607934
58,turnover_leaf_7,Turnover,67.33333333333333,5.0,119.0,78.0,0.030774755737304673,0.0016157682540100685,0.0019807404835299504
59,stoich_phos_fineroot_9,P,68.0,137.0,8.0,59.0,0.0033664505255929815,0.006487418934292275,0.0023779869371898443
60,allom_d2h2_9,Allometry,68.0,120.0,49.0,35.0,0.004839049108215884,0.0034122197032694164,0.002785585000068257
61,allom_agb2_10,Allometry,69.66666666666667,125.0,75.0,9.0,0.004423124893567105,0.0025823661733588724,0.0036153205637798175
62,recruit_seed_alloc_10,Allocation,69.66666666666667,36.0,70.0,103.0,0.014563017878223694,0.0026737600172855895,0.0015368073691862506
63,mort_scalar_cstarvation_10,Mortality,69.66666666666667,54.0,45.0,110.0,0.01081908202667378,0.003670717932371109,0.0014759487074642935
64,phos_store_ratio_10,P,69.66666666666667,70.0,102.0,37.0,0.008682750471575762,0.0019543511145580605,0.0027480422935244695
65,pid_ki_10,Allocation,69.66666666666667,93.0,95.0,21.0,0.006602359892177268,0.0020677204255670923,0.0032502557908878583
66,km_nh4_10,N,70.66666666666667,79.0,15.0,118.0,0.008126079949502546,0.005195412233119798,0.00119546368657056
67,allom_d2bl2_10,Allometry,71.0,89.0,72.0,52.0,0.006889274137047046,0.00266561041427648,0.0025180572485727906
68,stoich_nitr_leaf_7,N,73.0,40.0,145.0,34.0,0.014004602031840143,0.0011895873183355,0.0028115714563913177
69,l2fr_ini_7,Allocation,73.0,69.0,28.0,122.0,0.008702719919987143,0.004562768292010133,0.0011712165934394338
70,turnover_fnrt_7,Turnover,73.0,81.0,40.0,98.0,0.007770335863625789,0.0038251010099156287,0.0016068746332243242
71,km_nh4_9,N,73.66666666666667,126.0,93.0,2.0,0.004344974114177799,0.002094656874946514,0.006768245514007645
72,microb_bio_9,Microbial,74.66666666666667,64.0,133.0,27.0,0.009408378356620443,0.0013666670956077125,0.002973862873725975
73,nitr_store_ratio_10,N,75.0,148.0,74.0,3.0,0.002673931435433569,0.002597426691887416,0.0065701208114140085
74,recruit_seed_alloc_7,Allocation,75.33333333333333,11.0,83.0,132.0,0.023283449047912155,0.002477233223061496,0.0009602712003910656
75,allom_d2bl2_7,Allometry,75.66666666666667,26.0,86.0,115.0,0.0171071432787621,0.0023324827787561714,0.0013492974905030184
76,recruit_seed_alloc_9,Allocation,76.33333333333333,111.0,47.0,71.0,0.005706017442996032,0.0035472506641102946,0.0021061636152464166
77,mort_bmort_9,Mortality,76.33333333333333,97.0,77.0,55.0,0.006380359654255329,0.00254411690762336,0.0024056415674014366
