year,sminp_gPm2,labilep_gPm2,secondp_gPm2,occlp_gPm2,primp_gPm2,litr1p_gPm2,litr2p_gPm2,litr3p_gPm2,vegp_gPm2,storep_gPm2,totsomp_gPm2,p_uptake_gPm2yr,p_efflux_gPm2yr,sminp_leached_gPm2yr,total_inorganic_gPm2,total_ecosystem_gPm2
1901,44.730324,0.029263299,44.676109,0.25064233,0.031485662,732.59912,1505.6871,750.71558,0.96055812,0.84186083,15.936415,0.65716547,0.49485683,2.6326999e-10,89.717827,3096.4583
1901.0833,44.720833,0.029305436,44.666542,0.25068626,0.0314859,732.47791,1505.4568,750.60089,0.94184685,0.82751983,15.93821,0.63589579,0.47172219,2.818171e-10,89.698853,3095.942
1901.1667,44.7113,0.029322468,44.656979,0.25073019,0.031486139,732.36255,1505.2373,750.4917,0.91516727,0.80585855,15.939863,0.62565017,0.46243989,2.8444244e-10,89.679817,3095.4324
1901.25,44.70145,0.029339865,44.647095,0.25077558,0.031486385,732.24426,1505.0116,750.37927,0.88930261,0.77307326,15.941511,0.60111558,0.43078387,2.8831806e-10,89.660149,3094.8993
1901.3333,44.691429,0.029265119,44.637215,0.25082096,0.031486634,732.12915,1504.7914,750.26965,0.88039744,0.73483908,15.943119,0.5986082,0.4167676,2.8902805e-10,89.640221,3094.3884
1901.4167,44.681541,0.029261278,44.627335,0.25086635,0.03148688,732.02563,1504.5947,750.172,0.89385176,0.75656825,15.944748,0.61917043,0.43090424,2.8883579e-10,89.620491,3094.0083
1901.5,44.671673,0.029266557,44.617455,0.25091171,0.031487126,732.07007,1504.698,750.22382,0.91115981,0.76503009,15.946454,0.73986042,0.51869607,2.0147269e-10,89.600792,3094.2154
1901.5833,44.66156,0.029226007,44.607418,0.25095782,0.031487375,732.323,1505.2277,750.48895,0.93674821,0.75755221,15.948417,0.83148146,0.60573339,1.3304767e-10,89.58065,3095.2631
1901.6667,44.651711,0.029237535,44.597542,0.25100315,0.031487621,732.5332,1505.6726,750.71161,0.96148348,0.78561985,15.951117,0.71980375,0.49497414,1.1673219e-10,89.560974,3096.1767
1901.75,44.641872,0.02925658,44.587673,0.25104851,0.031487867,732.59857,1505.8289,750.79022,0.97432452,0.85496789,15.954292,0.86938399,0.59791374,1.4476581e-10,89.541336,3096.5426
1901.8333,44.632221,0.029374562,44.577805,0.2510938,0.031488113,732.44727,1505.5422,750.64734,0.96929818,0.90110308,15.957249,0.62252891,0.45193443,2.4064944e-10,89.521973,3095.9863
1901.9167,44.622482,0.029442262,44.567936,0.25113913,0.031488359,732.30151,1505.2565,750.505,0.94257241,0.87671715,15.959138,0.50259334,0.34786451,3.1354896e-10,89.502487,3095.3439
