year,pft7_hydraulic,pft7_cstarvation,pft7_fire,pft9_hydraulic,pft9_cstarvation,pft9_fire,pft10_hydraulic,pft10_cstarvation,pft10_fire
1901,43.821865,0.019205461,0,12.273792,1.2000834,0,3.9314989,0,0
1901.0833,109.64227,0.03509406,0,31.318736,1.3748272,0,9.693648,0,0
1901.1667,104.34444,0.095313512,0,30.710787,1.5853568,0,9.0224734,0,0
1901.25,99.453941,0.16539235,0,30.042727,3.6088319,0,8.0384631,0.13602943,0
1901.3333,85.715067,0.21995976,0,26.360451,5.7984229,0,6.6816192,0.14200395,0
1901.4167,0,0.21029861,0,0,5.2693628,0,0,0.0012593591,0
1901.5,0,0.054957799,0,0,3.9653498,0,0,0,0
1901.5833,0,0.00024308183,0,0,2.2364171,0,0,0,0
1901.6667,0,0,0,0,1.2533325,0,0,0,0
1901.75,0,0,0,0,1.1457104,0,0,0,0
1901.8333,134.71362,0,0,30.80567,1.1273432,0,8.8298173,0,0
1901.9167,143.00213,0,0,33.718573,1.0999186,0,8.7933995,0,0
1902,134.89107,0,0,33.12568,1.0236714,0,7.5051367,0,0
1902.0833,126.77746,0,0,32.577462,0.99216199,0,6.171115,0,0
1902.1667,117.91786,0,0,32.005359,0.95621714,0,5.1261707,0,0
1902.25,109.79569,0,0,31.284438,1.5794284,0,4.5866258,0,0
1902.3333,73.651327,0,0,21.531341,1.871023,0,3.39064,0,0
1902.4167,0,0,0,0,1.5190148,0,0,0,0
1902.5,0,0,0,0,0.64982298,0,0,0,0
1902.5833,0,0,0,0,0.22786432,0,0,0,0
1902.6667,0,0,0,0,0.10974994,0,0,0,0
1902.75,0,0,0,0,0.057723767,0,0,0,0
1902.8333,0,0,0,0,0.029366921,0,0,0,0
1902.9167,0,0,0,0,0.02670217,0,0,0,0
1903,0,0,0,0,0.025019141,0,0,0,0
1903.0833,0,0.44962074,0,0,0.023786738,0,0,0,0
1903.1667,0,3.962246,0,0,0.023391424,0,0,0,0
