year,sminp_gPm2,labilep_gPm2,secondp_gPm2,occlp_gPm2,primp_gPm2,litr1p_gPm2,litr2p_gPm2,litr3p_gPm2,vegp_gPm2,storep_gPm2,totsomp_gPm2,p_uptake_gPm2yr,p_efflux_gPm2yr,sminp_leached_gPm2yr,total_inorganic_gPm2,total_ecosystem_gPm2
1901,121.69537,0.2414564,121.2454,0.57998937,0.031485662,255.68225,543.09149,268.06613,1.403224,1.002439,129.94279,0.61106396,0.46473002,1.9344619e-09,243.79369,1442.982
1901.0833,121.67054,0.24163647,121.22024,0.58010864,0.0314859,255.61136,542.93396,267.9892,1.389794,0.99493003,129.93471,0.63001829,0.51522273,2.0412159e-09,243.744,1442.5979
1901.1667,121.64549,0.24169651,121.19508,0.58022785,0.031486139,255.54198,542.78156,267.91483,1.3706698,0.98257941,129.92665,0.63020909,0.51863551,2.0646869e-09,243.69398,1442.2123
1901.25,121.61958,0.24174,121.16908,0.58035105,0.031486385,255.46822,542.62189,267.83682,1.3501356,0.87595779,129.91835,0.62900013,0.38925844,2.0920063e-09,243.64223,1441.7135
1901.3333,121.5936,0.24174748,121.14309,0.5804742,0.031486634,255.39635,542.46777,267.76163,1.3405626,0.75932884,129.91006,0.63873631,0.23258889,2.0991435e-09,243.59039,1441.226
1901.4167,121.56757,0.24173158,121.1171,0.58059734,0.03148688,255.34254,542.35266,267.70566,1.34029,0.76773643,129.90179,0.66281366,0.22802399,2.0216913e-09,243.5385,1440.9492
1901.5,121.54156,0.2417178,121.09113,0.58072048,0.031487126,255.62276,542.92712,267.99103,1.3346747,0.69894022,129.89369,0.94404536,0.35404259,1.2537775e-09,243.48662,1441.9548
1901.5833,121.51394,0.24105504,121.06472,0.58084559,0.031487375,255.98262,543.66156,268.35596,1.3706502,0.70505136,129.88538,1.1884494,0.56637806,9.8757957e-10,243.43205,1443.3932
1901.6667,121.48719,0.24063344,121.03875,0.58096868,0.031487621,256.33273,544.36407,268.70505,1.3364173,0.92484474,129.87682,1.1145692,0.54484522,8.5353874e-10,243.37903,1444.919
1901.75,121.4612,0.24061646,121.01278,0.5810917,0.031487867,256.53171,544.74921,268.89703,1.3710902,0.98004621,129.86806,0.88601571,0.42084861,1.0813999e-09,243.32718,1445.7243
1901.8333,121.43638,0.24123821,120.98682,0.58121473,0.031488113,256.46384,544.59302,268.82092,1.3915973,1.0002341,129.85925,0.55441928,0.24652827,1.8016986e-09,243.27713,1445.406
1901.9167,121.41163,0.2418893,120.96086,0.58133769,0.031488359,256.38272,544.41559,268.73422,1.378917,0.9921788,129.85091,0.53370333,0.35949779,2.283052e-09,243.22722,1444.9818
