ELM-FATES Parameter List v3 - 162 Parameters for Morris Sampling
================================================================================
This file contains 162 parameters (138 original + 24 new) with their bounds
for Morris sensitivity analysis.

Structure:
- Parameters 1-138: Original Morris ensemble parameters
- Parameters 139-162: New critical parameters (turnover, root distribution, PID gains, storage ratios)

Created: 2025-12-29
Based on: Morris ensemble redesign analysis

================================================================================

No	ELM-FATES CNP Parameters	Symbol/Short and PFT#	Lower_Bound	Upper_Bound	Default_Value	Description
1	fates_cnp_eca_alpha_ptase	alpha_ptase_7	0.25	0.95	0.5	Phosphatase production efficiency PFT#7
2	fates_cnp_eca_decompmicc	microb_bio_7	140	600	280	Microbial biomass C concentration PFT#7
3	fates_cnp_eca_km_nh4	km_nh4_7	0.07	0.21	0.14	Michaelis-Menten constant for NH4 uptake PFT#7
4	fates_cnp_eca_km_no3	km_no3_7	0.135	0.405	0.27	Michaelis-Menten constant for NO3 uptake PFT#7
5	fates_cnp_eca_km_p	km_p_7	0.05	0.15	0.1	Michaelis-Menten constant for P uptake PFT#7
6	fates_cnp_eca_km_ptase	km_ptase_7	0.5	1.5	1	Michaelis-Menten constant for phosphatase PFT#7
7	fates_cnp_vmax_nh4	vmax_nh4_7	2.5E-10	0.00025	2.5e-09	Maximum NH4 uptake rate PFT#7
8	fates_cnp_vmax_no3	vmax_no3_7	2.5E-10	0.00025	2.5e-09	Maximum NO3 uptake rate PFT#7
9	fates_cnp_vmax_p	vmax_p_7	5E-11	0.00005	5e-10	Maximum P uptake rate PFT#7
10	fates_cnp_eca_vmax_ptase	vmax_ptase_7	5E-10	0.0005	5e-09	Maximum phosphatase production rate PFT#7
11	fates_cnp_pid_kp	pid_kp_7	0.000005	0.005	0.0005	PID proportional gain for allocation PFT#7
12	fates_allom_l2fr	l2fr_ini_7	0.01	2.956620991	1	Initial leaf to fine root ratio PFT#7
13	fates_cnp_turnover_nitr_retrans	nitr_retrans_7	0.4	0.7	0.25	Nitrogen retranslocation fraction PFT#7
14	fates_cnp_turnover_phos_retrans	phos_retrans_7	0.6	0.9	0.25	Phosphorus retranslocation fraction PFT#7
15	fates_stoich_nitr	stoich_nitr_leaf_7	0.018676344	0.038729283	0.033	Leaf nitrogen stoichiometry PFT#7
16	fates_stoich_phos	stoich_phos_leaf_7	0.001034373	0.002847928	0.0033	Leaf phosphorus stoichiometry PFT#7
17	fates_stoich_nitr	stoich_nitr_fineroot_7	0.014525165	0.020000432	0.024	Fine root nitrogen stoichiometry PFT#7
18	fates_stoich_phos	stoich_phos_fineroot_7	0.000804464	0.001470716	0.0024	Fine root phosphorus stoichiometry PFT#7
19	fates_cnp_eca_alpha_ptase	alpha_ptase_9	0.25	0.95	0.5	Phosphatase production efficiency PFT#9
20	fates_cnp_eca_decompmicc	microb_bio_9	140	600	280	Microbial biomass C concentration PFT#9
21	fates_cnp_eca_km_nh4	km_nh4_9	0.07	0.21	0.14	Michaelis-Menten constant for NH4 uptake PFT#9
22	fates_cnp_eca_km_no3	km_no3_9	0.135	0.405	0.27	Michaelis-Menten constant for NO3 uptake PFT#9
23	fates_cnp_eca_km_p	km_p_9	0.05	0.15	0.1	Michaelis-Menten constant for P uptake PFT#9
24	fates_cnp_eca_km_ptase	km_ptase_9	0.5	1.5	1	Michaelis-Menten constant for phosphatase PFT#9
25	fates_cnp_vmax_nh4	vmax_nh4_9	2.5E-10	0.00025	2.5e-09	Maximum NH4 uptake rate PFT#9
26	fates_cnp_vmax_no3	vmax_no3_9	2.5E-10	0.00025	2.5e-09	Maximum NO3 uptake rate PFT#9
27	fates_cnp_vmax_p	vmax_p_9	5E-11	0.00005	5e-10	Maximum P uptake rate PFT#9
28	fates_cnp_eca_vmax_ptase	vmax_ptase_9	5E-10	0.0005	5e-09	Maximum phosphatase production rate PFT#9
29	fates_cnp_pid_kp	pid_kp_9	0.000005	0.005	0.0005	PID proportional gain for allocation PFT#9
30	fates_allom_l2fr	l2fr_ini_9	0.01	18.31149756	1	Initial leaf to fine root ratio PFT#9
31	fates_cnp_nfix1	nfix1_9	0	1	0	Nitrogen fixation parameter PFT#9
32	fates_cnp_turnover_nitr_retrans	nitr_retrans_9	0.4	0.7	0.25	Nitrogen retranslocation fraction PFT#9
33	fates_cnp_turnover_phos_retrans	phos_retrans_9	0.6	0.8	0.25	Phosphorus retranslocation fraction PFT#9
34	fates_stoich_nitr	stoich_nitr_leaf_9	0.03783522	0.058189077	0.04	Leaf nitrogen stoichiometry PFT#9
35	fates_stoich_phos	stoich_phos_leaf_9	0.002095471	0.004278889	0.004	Leaf phosphorus stoichiometry PFT#9
36	fates_stoich_nitr	stoich_nitr_fineroot_9	0.012530528	0.028131898	0.024	Fine root nitrogen stoichiometry PFT#9
37	fates_stoich_phos	stoich_phos_fineroot_9	0.000693992	0.002068657	0.0024	Fine root phosphorus stoichiometry PFT#9
38	fates_cnp_eca_alpha_ptase	alpha_ptase_10	0.25	0.95	0.5	Phosphatase production efficiency PFT#10
39	fates_cnp_eca_decompmicc	microb_bio_10	140	600	280	Microbial biomass C concentration PFT#10
40	fates_cnp_eca_km_nh4	km_nh4_10	0.07	0.21	0.14	Michaelis-Menten constant for NH4 uptake PFT#10
41	fates_cnp_eca_km_no3	km_no3_10	0.135	0.405	0.27	Michaelis-Menten constant for NO3 uptake PFT#10
42	fates_cnp_eca_km_p	km_p_10	0.05	0.15	0.1	Michaelis-Menten constant for P uptake PFT#10
43	fates_cnp_eca_km_ptase	km_ptase_10	0.5	1.5	1	Michaelis-Menten constant for phosphatase PFT#10
44	fates_cnp_vmax_nh4	vmax_nh4_10	2.5E-10	0.00025	2.5e-09	Maximum NH4 uptake rate PFT#10
45	fates_cnp_vmax_no3	vmax_no3_10	2.5E-10	0.00025	2.5e-09	Maximum NO3 uptake rate PFT#10
